X,Y,l1_leaf_types,l2_genus,l3_species
555605.955,5914506.311,needleleaf,fir,silver fir
555592.2406,5917512.707,needleleaf,fir,silver fir
524189.1866,5889103.122,needleleaf,fir,silver fir
627736.1594,5885499.348,needleleaf,fir,silver fir
621892.518,5888737.731,needleleaf,fir,silver fir
627708.5846,5885457.945,needleleaf,fir,silver fir
572574.7531,5907847.226,needleleaf,fir,silver fir
518782.9126,5933358.845,needleleaf,fir,silver fir
536329.1555,5881073.571,needleleaf,fir,silver fir
562540.572,5910828.115,needleleaf,fir,silver fir
627703.4444,5885415.679,needleleaf,fir,silver fir
529754.5767,5905140.837,needleleaf,fir,silver fir
518926.7223,5933379.364,needleleaf,fir,silver fir
518721.7144,5933434.169,needleleaf,fir,silver fir
562521.5655,5910889.531,needleleaf,fir,silver fir
627689.3923,5885486.594,needleleaf,fir,silver fir
601896.0947,5900348.686,needleleaf,fir,silver fir
525730.3468,5879761.952,needleleaf,fir,silver fir
598119.8918,5875471.545,needleleaf,fir,silver fir
518896.2815,5933293.767,needleleaf,fir,silver fir
621893.8934,5888715.781,needleleaf,fir,silver fir
528428.7809,5905135.717,needleleaf,fir,silver fir
555205.1044,5916749.386,needleleaf,fir,silver fir
556118.0416,5917427.45,needleleaf,fir,silver fir
525688.9329,5879765.371,needleleaf,fir,silver fir
524257.4769,5889087.322,needleleaf,fir,silver fir
518727.1981,5933363.868,needleleaf,fir,silver fir
621952.0798,5889023.281,needleleaf,fir,silver fir
562490.9993,5910887.121,needleleaf,fir,silver fir
554201.8731,5913343.041,needleleaf,fir,silver fir
518802.7979,5933515.491,needleleaf,fir,silver fir
518769.807,5933479.959,needleleaf,fir,silver fir
517250.6218,5936509.695,needleleaf,fir,silver fir
601840.7963,5900324.158,needleleaf,fir,silver fir
622064.9446,5889142.368,needleleaf,fir,silver fir
518836.7547,5933308.061,needleleaf,fir,silver fir
600398.9437,5881190.505,needleleaf,fir,silver fir
601876.3663,5900362.42,needleleaf,fir,silver fir
622114.9002,5889121.429,needleleaf,fir,silver fir
528319.5411,5905212.299,needleleaf,fir,silver fir
607450.2162,5871632.257,needleleaf,fir,silver fir
524220.9657,5889118.856,needleleaf,fir,silver fir
518868.3194,5933273.23,needleleaf,fir,silver fir
555676.7764,5917614.723,needleleaf,fir,silver fir
603974.2377,5898002.677,needleleaf,fir,silver fir
556916.522,5918632.399,needleleaf,fir,silver fir
627969.1011,5885456.355,needleleaf,fir,silver fir
532665.2087,5929077.593,needleleaf,fir,silver fir
601793.7688,5900375.883,needleleaf,fir,silver fir
524228.035,5889093.364,needleleaf,fir,silver fir
601724.0002,5900388.624,needleleaf,fir,silver fir
622074.7722,5889123.429,needleleaf,fir,silver fir
518815.8072,5933298.151,needleleaf,fir,silver fir
562515.6465,5911152.261,needleleaf,fir,silver fir
621975.7142,5889058.681,needleleaf,fir,silver fir
622117.4956,5889169.452,needleleaf,fir,silver fir
